기간,회원구분,급전방식,사업구분,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2024/09,합계,합계,합계,경남,0,8200,0,27.19,118.97200000000001,1300,4.515000000000001,0,1801.0342600000279,86.18599999999999,145.469,0,14.025,0,6.783,11704.174260000029
2024/09,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,560.1587250000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,1936.5151250000004
2024/09,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,78.35227000000003,0,2.31,0,5,0,3.25,1221.80427
2024/09,합계,합계,합계,소계,26050,39817.882,400,627.55,44217.255999999994,4700,1072.3319999999994,346.33,26076.950479003037,2231.0917,1802.8764,254.58,1845.647,0,449.53499999999997,149906.94478900303
2024/08,합계,합계,합계,서울,0,0,0,0,802.346,0,86.9,0,46.726815,0,0,0,5.8,0,27.950000000000003,969.722815
2024/08,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,233.34896999999975,0.012,0.02,0,4.574,0,33.9,6727.17097
2024/08,합계,합계,합계,대구,0,72.9,0,0,370.70000000000005,0,4.11,0,325.483896000001,0,3.56,0,4.5,0,9.9,791.153896000001
2024/08,합계,합계,합계,인천,0,5080,0,36.22999999999999,8576.747,0,245.74500000000003,0,137.25712999999996,49,12.599,0,76.33,0,30.78,14244.68813
2024/08,합계,합계,합계,광주,0,0,0,0,115.24600000000001,0,21.035,0,311.7317160000002,0,1.83,0,2.12,0,3.96,455.92271600000015
2024/08,합계,합계,합계,대전,0,0,0,0,48.3,0,7.165000000000001,0,57.590189999999986,0,0,0,0.099,0,88,201.15419
2024/08,합계,합계,합계,울산,2800,0,0,0,2514.7,0,37.298,0,123.35559000000019,0,0.3,0,0,0,18.2,5493.85359
2024/08,합계,합계,합계,경기,0,253.35500000000002,0,39.35,18987.716999999997,400,256.93,0,1728.1432760000102,5.271,275.90900000000005,254,62.522999999999996,0,51.45499999999999,22314.653276000005
2024/08,합계,합계,합계,강원,0,6364,400,0,1279.2,1000,98.49600000000001,0,1844.106523000048,570.1980000000002,525.0949999999999,0,368.46500000000003,0,18.97,12468.530523000047
2024/08,합계,합계,합계,충북,0,0,0,0,0,0,39.6,0,1443.1725640000352,0,507.004,0,2.66,0,51.297,2055.733564000035
2024/08,합계,합계,합계,충남,0,18246.058,0,469.61,4208.45,0,82.72,346.33,3397.815372999952,2,32.297,0,383.56,0,9.39,27178.230372999955
2024/08,합계,합계,합계,전북,0,445.369,0,7.340000000000001,718.4000000000001,600,15.42,0,4449.049982000317,79.5,78.91699999999999,0,477.812,0,14.695,6886.502982000317
2024/08,합계,합계,합계,전남,5900,981.1,0,22.43999999999999,2378.9,0,68.56,0,5738.448640000001,454.87499999999994,36.795,0.08,2.229,0,22.869999999999997,15607.41929
2024/08,합계,합계,합계,경북,12800,156.1,0,18.5,361.6,1400,58.078,0,3558.466868999923,561.3297,179.95499999999998,0,1.5,0,38.935,19134.464568999923
2024/08,합계,합계,합계,경남,0,8200,0,27.19,118.97200000000001,1300,4.515000000000001,0,1800.102490000028,86.18599999999999,145.469,0,14.025,0,3.883,11700.342490000028
2024/08,합계,합계,합계,제주,0,0,0,6.890000000000001,492.53,0,0,0,562.1417550000003,421.96999999999997,0.8164,0.5,434.45,0,19.2,1938.4981550000005
2024/08,합계,합계,합계,세종,0,0,0,0,1127.612,0,5.28,0,78.35227000000003,0,2.31,0,5,0,3.25,1221.80427
2024/08,합계,합계,합계,소계,26050,39817.882,400,627.55,43947.255999999994,4700,1072.3319999999994,346.33,25835.29404900304,2230.3417,1802.8764,254.58,1845.647,0,446.63499999999993,149389.845799003
2024/07,합계,합계,합계,서울,0,0,0,0,802.346,0,86.9,0,46.726815,0,0,0,5.8,0,27.950000000000003,969.722815
2024/07,합계,합계,합계,부산,4550,19,0,0,1845.8360000000002,0,40.480000000000004,0,231.00148499999978,0.012,0.02,0,4.574,0,33.9,6724.823485
